Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type
5649,STATEGRID N2105,Debt Securities,,"2,000",,USG8450LAB02,18/05/2021,,,,,,,,,"USD 200,000",Professional
5650,STATEGRID N2605,Debt Securities,,"2,000",,USG8450LAC84,18/05/2026,,,,,,,,,"USD 200,000",Professional
5651,STATEGRID N2205,Debt Securities,,"1,000",,XS1402176389,19/05/2022,,,,,,,,,"EUR 100,000",Professional
5652,STATEGRID N2505,Debt Securities,,"1,000",,XS1402177601,19/05/2025,,,,,,,,,"EUR 100,000",Professional
5654,SHK&CO N2105,Debt Securities,,"2,000",,XS1418634959,31/05/2021,,,,,,,,,"USD 200,000",Professional
5656,CCBL1CORP N2105,Debt Securities,,"2,000",,XS1422840733,31/05/2021,,,,,,,,,"USD 200,000",Professional
5657,HANHUI B2208,Debt Securities,,"2,000",,XS2031332195,22/08/2022,,,,,,,,,"USD 200,000",Professional
5658,QDJM UDI B2208,Debt Securities,,"2,000",,XS2042638846,22/08/2022,,,,,,,,,"USD 200,000",Professional
5659,CDB N2106A,Debt Securities,,"2,000",,XS1422299518,01/06/2021,,,,,,,,,"USD 200,000",Professional
5660,CDB N2606,Debt Securities,,"2,000",,XS1422334448,01/06/2026,,,,,,,,,"USD 200,000",Professional
5661,CDB N2106B,Debt Securities,,"1,000",,XS1422314689,01/06/2021,,,,,,,,,"EUR 100,000",Professional
5662,361 INT N2106,Debt Securities,,"2,000",,XS1415758991,03/06/2021,,,,,,,,,"USD 200,000",Professional
5664,HUARONG F N2106,Debt Securities,,"2,000",,XS1422785375,03/06/2021,,,,,,,,,"USD 200,000",Professional
5665,HUARONG F N2606,Debt Securities,,"2,000",,XS1422790615,03/06/2026,,,,,,,,,"USD 200,000",Professional
5667,MTRC(CI) N4606,Debt Securities,,"2,000",,HK0000296555,02/06/2046,,,,,,,,,"USD 200,000",Professional
5669,CSCEC II N2106,Debt Securities,,"2,000",,XS1430445210,14/06/2021,,,,,,,,,"USD 200,000",Professional
5670,MTR CORP N4606,Debt Securities,,"2,000",,HK0000297967,13/06/2046,,,,,,,,,"USD 200,000",Professional
5671,CITIC LTD N2112,Debt Securities,,"2,000",,XS1431266847,14/12/2021,,,,,,,,,"USD 200,000",Professional
5672,CITIC LTD N2606,Debt Securities,,"2,000",,XS1431266920,14/06/2026,,,,,,,,,"USD 200,000",Professional
5674,MTRC(CI) N4606B,Debt Securities,,"2,000",,HK0000297959,15/06/2046,,,,,,,,,"USD 200,000",Professional
5677,ABCL GLRY N2106,Debt Securities,,"2,000",,XS1429589705,21/06/2021,,,,,,,,,"USD 200,000",Professional
5684,SZEW B2107,Debt Securities,,"2,000",,XS1291665179,18/07/2021,,,,,,,,,"USD 200,000",Professional
5685,LINK FIN N2607,Debt Securities,,"2,000",,XS1453462076,21/07/2026,,,,,,,,,"USD 200,000",Professional
5686,ICBC ASIA NCSCS,Debt Securities,,"2,000",,XS1449306064,,,,,,,,,,"USD 200,000",Professional
5687,RH INT FN N2107,Debt Securities,,"2,000",,XS1452546556,20/07/2021,,,,,,,,,"USD 200,000",Professional
5688,MINMET FN B2107,Debt Securities,,"2,000",,XS1450327686,27/07/2021,,,,,,,,,"USD 200,000",Professional
5689,MINMET FN B2607,Debt Securities,,"2,000",,XS1450332256,27/07/2026,,,,,,,,,"USD 200,000",Professional
5692,C RAILWAY N2607,Debt Securities,,"2,000",,XS1451270687,28/07/2026,,,,,,,,,"USD 200,000",Professional
5693,MTR CORP N4607,Debt Securities,,"2,000",,HK0000302445,27/07/2046,,,,,,,,,"USD 200,000",Professional
5694,CDBI TRS N2108,Debt Securities,,"2,000",,XS1460660035,02/08/2021,,,,,,,,,"USD 200,000",Professional
5696,SS100 B2108,Debt Securities,,"2,000",,XS1464644324,11/08/2021,,,,,,,,,"USD 200,000",Professional
5699,CQ NANAN B2608,Debt Securities,,"2,000",,XS1442177645,17/08/2026,,,,,,,,,"USD 200,000",Professional
5700,FJZHNLNG N2208,Debt Securities,,"2,000",,XS2040322898,26/08/2022,,,,,,,,,"USD 200,000",Professional
5701,CR LAND N2402,Debt Securities,,"2,000",,XS1039273666,27/02/2024,,,,,,,,,"USD 200,000",Professional
5704,NUOXI CAP B2201,Debt Securities,,"2,000",,XS1918227817,28/01/2022,,,,,,,,,"USD 200,000",Professional
5705,YANKUANG B2201,Debt Securities,,"2,000",,XS1941840859,30/01/2022,,,,,,,,,"USD 200,000",Professional
5706,CELESTIAL GSPCS,Debt Securities,,"2,000",,XS1940852145,,,,,,,,,,"USD 200,000",Professional
5707,TIBET FIN B2208,Debt Securities,,"2,000",,XS1973757104,23/08/2022,,,,,,,,,"USD 200,000",Professional
